Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Total_Spent,Accepted,Age,Family_Size,Customer_Tenure,Relationship_Status_Partnered,Relationship_Status_Single,Age_Group,Income_Group
1,58138.0,58,3,8,10,4,7,0,1617,1,67,1,4478,False,True,Senior,Medium
1,46344.0,38,2,1,1,2,5,0,27,0,70,3,3928,False,True,Senior,Medium
1,71613.0,26,1,8,2,10,4,0,776,0,59,2,4127,True,False,Senior,High
1,26646.0,26,2,2,0,4,6,0,53,0,40,3,3954,True,False,Middle-aged,Low
3,58293.0,94,5,5,3,6,5,0,422,0,43,3,3976,True,False,Middle-aged,Medium
2,62513.0,16,2,6,4,10,6,0,716,0,57,3,4108,True,False,Senior,High
1,55635.0,34,4,7,3,7,6,0,590,0,53,2,4408,False,True,Middle-aged,Medium
3,33454.0,32,2,4,0,4,8,0,169,0,39,3,4232,True,False,Middle-aged,Medium
3,30351.0,19,1,3,0,2,9,0,46,1,50,3,4203,True,False,Middle-aged,Medium
3,5648.0,68,1,1,0,0,13,0,49,1,74,4,3923,True,False,Senior,Low
1,51381.5,11,1,1,0,2,7,0,19,0,41,3,4041,True,False,Middle-aged,Medium
0,7500.0,59,1,2,0,3,8,0,61,0,48,2,4408,True,False,Middle-aged,Low
1,63033.0,82,1,3,4,8,2,0,1102,0,65,1,4041,False,True,Senior,High
2,59354.0,53,3,6,1,5,6,0,310,0,72,3,4041,False,True,Senior,Medium
1,17323.0,38,1,1,0,3,8,0,46,0,37,2,4442,True,False,Middle-aged,Low
3,82800.0,23,1,7,6,12,3,0,1315,1,78,1,4397,False,True,Senior,High
1,41850.0,51,3,3,0,3,8,0,96,0,44,4,4367,True,False,Middle-aged,Medium
1,37760.0,20,2,4,1,6,7,0,317,0,78,2,4482,True,False,Senior,Medium
2,76995.0,91,2,11,4,9,5,0,1782,1,75,3,4273,True,False,Senior,High
2,33812.0,86,2,2,1,3,6,0,133,0,39,2,4418,False,True,Middle-aged,Medium
1,37040.0,41,1,4,2,5,8,0,316,0,42,2,4505,True,False,Middle-aged,Medium
1,2447.0,42,6,0,10,0,1,0,1730,0,45,3,4354,True,False,Middle-aged,Low
3,58607.0,63,3,2,3,9,8,0,972,1,75,3,4368,True,False,Senior,Medium
3,65324.0,0,3,6,2,9,4,0,544,0,70,3,3984,True,False,Senior,High
1,40689.0,69,6,7,1,5,8,0,444,0,73,3,4283,True,False,Senior,Medium
1,18589.0,89,2,2,1,3,7,0,75,0,55,1,4358,False,True,Middle-aged,Low
1,53359.0,4,4,5,1,4,7,0,257,0,48,4,4213,True,False,Middle-aged,Medium
1,51381.5,19,0,12,0,0,1,0,637,0,38,2,4309,False,True,Middle-aged,Medium
1,38360.0,26,2,2,1,4,3,0,131,0,35,3,4209,True,False,Young,Medium
3,84618.0,96,1,6,9,10,2,0,1672,1,59,2,4034,True,False,Senior,High
2,10979.0,34,2,3,0,3,5,0,30,0,35,1,3853,False,True,Young,Low
2,38620.0,56,1,2,5,3,3,0,318,0,61,2,4229,True,False,Senior,Medium
1,40548.0,31,2,2,1,4,5,0,120,1,54,3,4442,True,False,Middle-aged,Medium
3,46610.0,8,6,4,1,6,6,0,302,1,72,3,4423,False,True,Senior,Medium
2,68657.0,4,1,3,5,9,7,0,1196,0,78,2,4309,True,False,Senior,High
2,49389.0,55,1,2,0,3,7,0,65,0,73,3,4119,False,True,Senior,Medium
3,67353.0,37,5,5,6,12,2,0,913,0,54,3,3995,True,False,Middle-aged,High
2,23718.0,76,3,3,1,2,7,0,81,0,48,3,4115,True,False,Middle-aged,Low
1,42429.0,99,2,1,1,3,5,0,67,0,51,2,3953,False,True,Middle-aged,Medium
3,48948.0,53,2,7,10,5,6,0,902,1,81,1,4328,False,True,Senior,Medium
1,80011.0,3,2,8,6,5,4,0,1395,0,44,3,4241,True,False,Middle-aged,High
2,20559.0,88,2,2,0,3,8,0,53,0,39,3,4289,True,False,Middle-aged,Low
1,21994.0,4,1,0,0,3,5,0,22,0,67,3,4367,True,False,Senior,Low
3,51381.5,80,1,1,3,4,2,0,186,0,65,1,4051,False,True,Senior,Medium
2,7500.0,19,3,2,0,3,5,0,31,0,49,3,4085,True,False,Middle-aged,Low
1,79941.0,72,1,2,4,9,1,0,984,0,48,1,3816,False,True,Middle-aged,High
2,7500.0,24,3,3,1,3,9,0,122,1,28,2,4412,True,False,Young,Low
1,41728.0,92,1,2,0,2,10,0,55,0,56,3,4216,True,False,Senior,Medium
1,51381.5,96,3,2,1,4,6,0,124,0,73,4,3994,False,True,Senior,Medium
3,72550.0,39,6,5,2,12,8,0,1319,0,70,4,4413,True,False,Senior,High
